Player,First,Share,Status
LeBron James,120.0,0.998,MVP
Kevin Durant,0.0,0.632,Candidate
Carmelo Anthony,1.0,0.393,Candidate
Chris Paul,0.0,0.239,Candidate
Kobe Bryant,0.0,0.152,Candidate
Tony Parker,0.0,0.071,Candidate
Tim Duncan,0.0,0.054,Candidate
James Harden,0.0,0.027,Candidate
Russell Westbrook,0.0,0.007,Candidate
Dwyane Wade,0.0,0.004,Candidate
Stephen Curry,0.0,0.002,Candidate
Kevin Garnett,0.0,0.001,Candidate
Marc Gasol,0.0,0.001,Candidate
Ty Lawson,0.0,0.001,Candidate
David Lee,0.0,0.001,Candidate
Joakim Noah,0.0,0.001,Candidate
