Player,First,Share,Status
Larry Bird,73.0,0.981,MVP
Dominique Wilkins,5.0,0.522,Candidate
Magic Johnson,0.0,0.263,Candidate
Hakeem Olajuwon,0.0,0.247,Candidate
Kareem Abdul-Jabbar,0.0,0.173,Candidate
Charles Barkley,0.0,0.171,Candidate
Sidney Moncrief,0.0,0.072,Candidate
Alex English,0.0,0.071,Candidate
Isiah Thomas,0.0,0.036,Candidate
Moses Malone,0.0,0.027,Candidate
Terry Cummings,0.0,0.012,Candidate
James Worthy,0.0,0.009,Candidate
Kevin McHale,0.0,0.004,Candidate
Paul Pressey,0.0,0.004,Candidate
Alvin Robertson,0.0,0.004,Candidate
Adrian Dantley,0.0,0.003,Candidate
Buck Williams,0.0,0.003,Candidate
Dennis Johnson,0.0,0.001,Candidate
