Player,First,Share,Status
Karl Malone,44.0,0.701,MVP
Alonzo Mourning,36.0,0.655,Candidate
Tim Duncan,30.0,0.627,Candidate
Allen Iverson,5.0,0.27,Candidate
Jason Kidd,2.0,0.135,Candidate
Shaquille O'Neal,1.0,0.075,Candidate
Chris Webber,0.0,0.043,Candidate
Grant Hill,0.0,0.033,Candidate
Gary Payton,0.0,0.03,Candidate
Kevin Garnett,0.0,0.008,Candidate
Shawn Kemp,0.0,0.006,Candidate
David Robinson,0.0,0.005,Candidate
Hakeem Olajuwon,0.0,0.003,Candidate
Arvydas Sabonis,0.0,0.003,Candidate
Darrell Armstrong,0.0,0.002,Candidate
Vince Carter,0.0,0.001,Candidate
Anfernee Hardaway,0.0,0.001,Candidate
Mark Jackson,0.0,0.001,Candidate
Glenn Robinson,0.0,0.001,Candidate
Steve Smith,0.0,0.001,Candidate
Rasheed Wallace,0.0,0.001,Candidate
