Player,Pos,Age,Tm,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,W/L%,Label
Michael Jordan,SG,28,CHI,0.27,0.533,0.526,0.832,91,420,489,182,75,200,201,2404,27.7,0.579,9.5,25.7,3.0,1.5,8.8,31.7,17.7,9.7,9.2,0.938,MVP,1992,0.817,Correct
Karl Malone,PF,28,UTA,0.176,0.53,0.527,0.778,225,684,241,108,51,248,226,2272,25.4,0.599,16.8,13.4,1.8,1.0,11.6,30.3,15.1,5.7,5.9,0.273,Candidate,1992,0.671,Predicted
