Player,Pos,Age,Tm,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,W/L%,Label
Steve Nash,PG,31,PHO,0.439,0.548,0.583,0.921,47,286,826,61,12,276,120,1489,23.3,0.632,6.6,44.4,1.1,0.3,19.0,23.3,12.4,5.0,4.9,0.739,MVP,2006,0.659,Correct
Chauncey Billups,PG,29,DET,0.433,0.407,0.509,0.894,41,211,699,71,8,170,160,1495,23.4,0.602,5.1,39.3,1.3,0.2,12.0,22.9,15.5,6.2,6.1,0.344,Candidate,2006,0.78,Predicted
