Player,Pos,Age,Tm,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,W/L%,Label
Magic Johnson,PG,30,LAL,0.384,0.51,0.526,0.89,128,394,907,132,34,289,167,1765,26.6,0.622,10.2,45.5,2.2,0.7,16.9,24.8,16.5,10.1,8.9,0.691,MVP,1990,0.768,Correct
David Robinson,C,24,SAS,0.0,0.532,0.531,0.732,303,680,164,138,319,257,259,1993,26.3,0.597,18.5,8.7,2.2,6.5,13.3,26.6,15.1,6.9,6.8,0.111,Candidate,1990,0.683,Predicted
