Player,Pos,Age,Tm,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,W/L%,Label
Magic Johnson,PG,29,LAL,0.314,0.548,0.535,0.911,111,496,988,138,22,312,172,1730,26.9,0.625,11.7,48.6,2.3,0.4,18.4,24.3,16.1,9.4,8.3,0.782,MVP,1989,0.695,Correct
Karl Malone,PF,25,UTA,0.313,0.521,0.521,0.766,259,594,219,144,70,285,286,2326,24.4,0.592,15.1,12.8,2.3,1.3,12.7,30.4,15.2,5.4,5.9,0.426,Candidate,1989,0.622,Predicted
