Player,Pos,Age,Tm,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,W/L%,Label
Tim Duncan,PF,26,SAS,0.273,0.517,0.515,0.71,259,784,316,55,237,248,231,1884,26.9,0.564,19.0,19.5,0.9,5.2,12.9,28.0,16.5,7.6,7.7,0.808,MVP,2003,0.732,Correct
Kevin Garnett,PF,26,MIN,0.282,0.513,0.508,0.751,244,858,495,113,129,229,199,1883,26.4,0.553,18.8,25.8,1.8,2.8,11.9,26.4,15.6,8.4,8.7,0.732,Candidate,2003,0.622,Predicted
